Date,ACES.JK,ADRO.JK,AKRA.JK,AMRT.JK,ANTM.JK,ARTO.JK,ASII.JK,BBCA.JK,BBNI.JK,BBRI.JK,BBTN.JK,BMRI.JK,BRIS.JK,BRPT.JK,BUKA.JK,CPIN.JK,EMTK.JK,ESSA.JK,EXCL.JK,GGRM.JK,GOTO.JK,HRUM.JK,ICBP.JK,INCO.JK,INDF.JK,INKP.JK,INTP.JK,ITMG.JK,KLBF.JK,MAPI.JK,MBMA.JK,MDKA.JK,MEDC.JK,MTEL.JK,PGAS.JK,PGEO.JK,PTBA.JK,PTMP.JK,SIDO.JK,SMGR.JK,SRTG.JK,TLKM.JK,TOWR.JK,UNTR.JK,UNVR.JK
1/2/2020,1303.20,526.38,596.49,821.85,724.16,386.82,5037.76,6000.03,3363.99,3132.64,1733.75,3081.72,315.34,1442.11,,6094.57,546.39,250.30,2959.15,44352.21,,249.02,9996.72,3539.61,6488.05,7394.55,15385.14,5274.42,1465.47,1048.87,,1063.41,618.88,,1550.02,,1145.37,,502.53,10872.44,656.39,3090.18,696.50,13242.82,7092.87
1/3/2020,1307.52,539.45,579.66,812.45,732.78,386.82,5092.72,6098.69,3374.80,3139.75,1750.03,3071.78,311.54,1402.74,,6395.82,553.74,257.82,2949.93,44975.72,,249.96,10086.38,3422.28,6528.73,7855.20,15675.82,5448.69,1483.62,1053.79,,1141.45,674.47,,1564.51,,1162.79,,502.53,10983.84,656.39,3145.50,700.85,13104.23,7113.61
1/6/2020,1268.68,539.45,556.72,793.67,762.95,355.63,4946.17,6040.39,3299.09,3104.23,1733.75,3022.08,307.74,1284.61,,6349.47,553.74,254.06,2986.81,45204.34,,250.90,10310.52,3451.61,6508.39,7758.22,15675.82,5483.54,1488.16,1039.02,,1156.09,670.76,,1557.26,,1188.92,,506.46,10939.28,663.50,3129.69,696.50,13289.02,7030.65
1/7/2020,1242.79,567.07,539.90,788.97,754.33,355.63,4964.48,6044.88,3266.64,3125.54,1725.61,3022.08,302.04,1304.30,,6789.77,553.74,244.65,2996.03,46555.27,,249.96,10310.52,3480.94,6671.10,7758.22,15696.58,5530.01,1483.62,1039.02,,1165.84,667.05,,1521.05,,1180.21,,508.42,10961.56,649.27,3113.89,709.56,13088.83,7009.91
1/8/2020,1216.90,554.18,544.49,803.06,780.20,355.63,4964.48,5991.06,3212.55,3111.33,1684.91,2982.31,296.35,1260.00,,6743.42,553.74,244.65,3042.12,47719.15,,249.96,10355.35,3461.39,6691.44,7733.98,15115.22,5448.69,1438.25,1019.32,,1214.62,678.17,,1521.05,,1162.79,,510.38,10694.21,647.49,3082.27,696.50,13273.62,6906.21
1/9/2020,1260.05,550.50,550.60,798.36,758.64,358.12,5037.76,6044.88,3331.54,3125.54,1717.47,3061.84,302.04,1274.77,,6812.94,548.84,239.00,3032.90,47552.88,,249.96,10332.94,3490.72,6711.78,7830.95,15364.38,5495.16,1451.86,1024.25,,1141.45,652.23,,1521.05,,1162.79,,504.49,10872.44,652.83,3129.69,692.14,13135.03,6926.95
1/10/2020,1290.26,570.75,552.13,798.36,762.95,355.63,5001.12,6031.42,3342.35,3132.64,1758.17,3071.78,298.25,1255.08,,6720.25,516.99,235.24,3032.90,48301.09,,251.85,10332.94,3432.05,6711.78,7952.18,15052.93,5890.16,1451.86,1073.49,,1146.33,663.35,,1506.56,,1210.70,,502.53,10872.44,658.16,3145.50,687.79,13704.78,6844.00
1/13/2020,1285.94,576.27,550.60,798.36,750.02,358.12,5074.40,6049.36,3363.99,3203.68,1750.03,3071.78,303.94,1191.10,,6488.51,504.74,239.00,3051.34,48488.14,,255.62,10355.35,3383.16,6630.42,7903.69,15281.33,6203.83,1451.86,1068.57,,1121.94,644.82,,1513.81,,1232.47,,498.60,10850.16,651.05,3185.02,692.14,14197.54,6968.43
1/14/2020,1372.25,574.43,541.43,803.06,732.78,359.37,5257.59,6161.47,3396.44,3246.30,1758.17,3081.72,303.94,1220.63,,6534.86,541.49,237.12,3069.77,48488.14,,255.62,10400.18,3344.05,6610.08,7855.20,15468.19,6180.60,1438.25,1068.57,,1112.19,633.70,,1513.81,,1215.05,,494.68,10961.56,652.83,3121.79,696.50,13981.96,7030.65
1/15/2020,1380.88,543.13,535.31,803.06,719.85,360.62,5275.91,6130.08,3320.72,3253.40,1741.89,3041.96,303.94,1299.38,,6673.90,541.49,235.24,2996.03,48155.61,,255.62,10288.11,3334.27,6549.07,7879.44,15426.66,5901.77,1433.71,1034.10,,1117.06,611.47,,1477.59,,1171.50,,498.60,10738.76,661.72,3066.47,683.44,13550.79,7030.65
